Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
02:36:10,0.0,0.0,0.62,0.0,off,0.0
02:36:11,0.0,0.0,0.62,0.0,off,0.0
02:36:13,0.0,0.0,0.62,0.0,off,0.0
02:36:15,0.0,0.0,0.62,0.0,off,0.0
02:36:16,0.0,0.0,0.62,0.0,off,0.0
02:36:18,0.0,0.0,0.62,0.0,off,0.0
02:36:19,0.0,0.0,0.62,0.0,off,0.0
02:36:21,0.0,0.0,0.62,0.0,off,0.0
02:36:22,0.0,0.0,0.62,0.0,off,0.0
02:36:23,0.0,0.0,0.62,0.0,off,0.0
02:36:25,0.0,0.0,0.62,0.0,off,0.0
02:36:26,0.0,0.0,0.62,0.0,off,0.0
02:36:28,0.0,0.0,0.62,0.0,off,0.0
02:36:29,0.0,0.0,0.62,0.0,off,0.0
02:36:30,0.0,0.0,0.62,0.0,off,0.0
02:36:32,0.0,0.0,0.62,0.0,off,0.0
02:36:34,0.0,0.0,0.62,0.0,off,0.0
02:36:35,0.0,0.0,0.62,0.0,off,0.0
02:36:37,0.0,0.0,0.62,0.0,off,0.0
02:36:38,0.0,0.0,0.62,0.0,off,0.0
02:36:40,0.0,0.0,0.62,0.0,off,0.0
02:36:41,0.0,0.0,0.62,0.0,off,0.0
02:36:43,0.0,0.0,0.62,0.0,off,0.0
02:36:44,0.0,0.0,0.62,0.0,off,0.0
02:36:45,0.0,0.0,0.62,0.0,off,0.0
02:36:47,0.0,0.0,0.62,0.0,off,0.0
02:36:48,0.0,0.0,0.62,0.0,off,0.0
02:36:50,0.0,0.0,0.62,0.0,off,0.0
02:36:52,0.0,0.0,0.62,0.0,off,0.0
02:36:53,0.0,0.0,0.62,0.0,off,0.0
02:36:54,0.0,0.0,0.62,0.0,off,0.0
02:36:56,0.0,0.0,0.62,0.0,off,0.0
02:36:57,0.0,0.0,0.62,0.0,off,0.0
02:36:58,0.0,0.0,0.62,0.0,off,0.0
02:37:00,0.0,0.0,0.62,0.0,off,0.0
02:37:01,0.0,0.0,0.62,0.0,off,0.0
02:37:02,0.0,0.0,0.62,0.0,off,0.0
02:37:04,0.0,0.0,0.62,0.0,off,0.0
02:37:06,0.0,0.0,0.62,0.0,off,0.0
02:37:07,0.0,0.0,0.62,0.0,off,0.0
02:37:08,0.0,0.0,0.62,0.0,off,0.0
02:37:10,0.0,0.0,0.62,0.0,off,0.0
02:37:11,0.0,0.0,0.62,0.0,off,0.0
02:37:13,0.0,0.0,0.62,0.0,off,0.0
02:37:14,0.0,0.0,0.62,0.0,off,0.0
02:37:16,0.0,0.0,0.62,0.0,off,0.0
02:37:17,0.0,0.0,0.62,0.0,off,0.0
02:37:19,0.0,0.0,0.62,0.0,off,0.0
02:37:20,0.0,0.0,0.62,0.0,off,0.0
02:37:21,0.0,0.0,0.62,0.0,off,0.0
02:37:23,0.0,0.0,0.62,0.0,off,0.0
02:37:24,0.0,0.0,0.62,0.0,off,0.0
02:37:26,0.0,0.0,0.62,0.0,off,0.0
02:37:27,0.0,0.0,0.62,0.0,off,0.0
02:37:29,0.0,0.0,0.62,0.0,off,0.0
02:37:30,0.0,0.0,0.62,0.0,off,0.0
02:37:32,0.0,0.0,0.62,0.0,off,0.0
02:37:33,0.0,0.0,0.62,0.0,off,0.0
02:37:34,0.0,0.0,0.62,0.0,off,0.0
02:37:36,0.0,0.0,0.62,0.0,off,0.0
02:37:37,0.0,0.0,0.62,0.0,off,0.0
02:37:38,0.0,0.0,0.62,0.0,off,0.0
02:37:40,0.0,0.0,0.62,0.0,off,0.0
02:37:42,0.0,0.0,0.62,0.0,off,0.0
02:37:43,0.0,0.0,0.62,0.0,off,0.0
02:37:44,0.0,0.0,0.62,0.0,off,0.0
02:37:46,0.0,0.0,0.62,0.0,off,0.0
02:37:47,0.0,0.0,0.62,0.0,off,0.0
02:37:49,0.0,0.0,0.62,0.0,off,0.0
02:37:50,0.0,0.0,0.62,0.0,off,0.0
02:37:52,0.0,0.0,0.62,0.0,off,0.0
02:37:53,0.0,0.0,0.62,0.0,off,0.0
02:37:54,0.0,0.0,0.62,0.0,off,0.0
02:37:56,0.0,0.0,0.62,0.0,off,0.0
02:37:57,0.0,0.0,0.62,0.0,off,0.0
02:37:59,0.0,0.0,0.62,0.0,off,0.0
02:38:00,0.0,0.0,0.62,0.0,off,0.0
02:38:02,0.0,0.0,0.62,0.0,off,0.0
02:38:03,0.0,0.0,0.62,0.0,off,0.0
02:38:05,0.0,0.0,0.62,0.0,off,0.0
02:38:06,0.0,0.0,0.62,0.0,off,0.0
02:38:08,0.0,0.0,0.62,0.0,off,0.0
02:38:09,0.0,0.0,0.62,0.0,off,0.0
02:38:11,0.0,0.0,0.62,0.0,off,0.0
02:38:12,0.0,0.0,0.62,0.0,off,0.0
02:38:14,0.0,0.0,0.62,0.0,off,0.0
02:38:15,0.0,0.0,0.62,0.0,off,0.0
02:38:16,0.0,0.0,0.62,0.0,off,0.0
02:38:18,0.0,0.0,0.62,0.0,off,0.0
02:38:19,0.0,0.0,0.62,0.0,off,0.0
02:38:21,0.0,0.0,0.62,0.0,off,0.0
02:38:22,0.0,0.0,0.62,0.0,off,0.0
02:38:24,0.0,0.0,0.62,0.0,off,0.0
02:38:25,0.0,0.0,0.62,0.0,off,0.0
02:38:26,0.0,0.0,0.62,0.0,off,0.0
02:38:28,0.0,0.0,0.62,0.0,off,0.0
02:38:29,0.0,0.0,0.62,0.0,off,0.0
02:38:31,0.0,0.0,0.62,0.0,off,0.0
02:38:32,0.0,0.0,0.62,0.0,off,0.0
02:38:34,0.0,0.0,0.62,0.0,off,0.0
02:38:35,0.0,0.0,0.62,0.0,off,0.0
02:38:37,0.0,0.0,0.62,0.0,off,0.0
02:38:38,0.0,0.0,0.62,0.0,off,0.0
02:38:40,0.0,0.0,0.62,0.0,off,0.0
02:38:42,0.0,0.0,0.62,0.0,off,0.0
02:38:43,0.0,0.0,0.62,0.0,off,0.0
02:38:44,0.0,0.0,0.62,0.0,off,0.0
02:38:46,0.0,0.0,0.62,0.0,off,0.0
02:38:47,0.0,0.0,0.62,0.0,off,0.0
02:38:49,0.0,0.0,0.62,0.0,off,0.0
02:38:50,0.0,0.0,0.62,0.0,off,0.0
02:38:52,0.0,0.0,0.62,0.0,off,0.0
02:38:54,0.0,0.0,0.62,0.0,off,0.0
02:38:55,0.0,0.0,0.62,0.0,off,0.0
02:38:56,0.0,0.0,0.62,0.0,off,0.0
02:38:59,0.0,0.0,0.62,0.0,off,0.0
02:39:00,0.0,0.0,0.62,0.0,off,0.0
02:39:02,0.0,0.0,0.62,0.0,off,0.0
02:39:03,0.0,0.0,0.62,0.0,off,0.0
02:39:05,0.0,0.0,0.62,0.0,off,0.0
02:39:06,0.0,0.0,0.62,0.0,off,0.0
02:39:08,0.0,0.0,0.62,0.0,off,0.0
02:39:09,0.0,0.0,0.62,0.0,off,0.0
02:39:11,0.0,0.0,0.62,0.0,off,0.0
02:39:12,0.0,0.0,0.62,0.0,off,0.0
02:39:14,0.0,0.0,0.62,0.0,off,0.0
02:39:15,0.0,0.0,0.62,0.0,off,0.0
02:39:17,0.0,0.0,0.62,0.0,off,0.0
02:39:19,0.0,0.0,0.62,0.0,off,0.0
02:39:20,0.0,0.0,0.62,0.0,off,0.0
02:39:22,0.0,0.0,0.62,0.0,off,0.0
02:39:24,0.0,0.0,0.62,0.0,off,0.0
02:39:26,0.0,0.0,0.62,0.0,off,0.0
02:39:27,0.0,0.0,0.62,0.0,off,0.0
02:39:28,0.0,0.0,0.62,0.0,off,0.0
