Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
00:00:00,25.42,92.26,1.08,1.04,off,0.0
00:00:02,25.43,92.27,1.08,1.04,off,0.0
00:00:04,25.43,92.27,1.07,1.04,off,0.0
00:00:05,25.41,92.26,1.07,1.04,off,0.0
00:00:07,25.41,92.29,1.05,1.04,off,0.0
00:00:09,25.4,92.3,1.07,1.04,off,0.0
00:00:10,25.42,92.34,1.07,1.04,off,0.0
00:00:12,25.42,92.33,1.07,1.04,off,0.0
00:00:14,25.39,92.34,1.07,1.04,off,0.0
00:00:16,25.41,92.33,1.06,1.07,off,0.0
00:00:18,25.43,92.38,1.06,1.04,off,0.0
00:00:19,25.4,92.38,1.08,1.04,off,0.0
00:00:21,25.41,92.39,1.07,0.98,off,0.0
00:00:22,25.42,92.39,1.06,1.04,off,0.0
00:00:24,25.41,92.39,1.07,1.04,off,0.0
00:00:26,25.4,92.42,1.07,1.04,off,0.0
00:00:27,25.43,92.42,1.09,1.04,off,0.0
00:00:29,25.38,92.44,1.08,1.07,off,0.0
00:00:31,25.4,92.46,1.07,1.04,off,0.0
00:00:32,25.41,92.45,1.07,1.04,off,0.0
00:00:34,25.41,92.44,1.08,0.98,off,0.0
00:00:36,25.41,92.47,1.07,1.04,off,0.0
00:00:38,25.4,92.45,1.07,1.04,off,0.0
00:00:39,25.4,92.46,1.07,1.04,off,0.0
00:00:41,25.41,92.48,1.07,1.04,off,0.0
00:00:43,25.39,92.49,1.07,1.04,off,0.0
00:00:44,25.4,92.51,1.08,0.98,off,0.0
00:00:46,25.39,92.51,1.07,0.98,off,0.0
00:00:48,25.37,92.53,1.05,1.04,off,0.0
00:00:49,25.41,92.53,1.08,1.04,off,0.0
00:00:51,25.38,92.54,1.08,1.04,off,0.0
00:00:53,25.41,92.56,1.07,1.04,off,0.0
00:00:54,25.4,92.54,1.07,1.04,off,0.0
00:00:56,25.4,92.57,1.07,1.04,off,0.0
00:00:58,25.39,92.56,1.07,1.04,off,0.0
00:00:59,25.38,92.59,1.07,1.04,off,0.0
00:01:01,25.38,92.61,1.05,1.04,off,0.0
00:01:03,25.38,92.62,0.96,1.04,off,0.0
00:01:05,25.4,92.63,1.07,1.04,off,0.0
00:01:06,25.4,92.7,1.07,1.04,off,0.0
00:01:08,25.37,92.7,1.07,1.04,off,0.0
00:01:10,25.39,92.72,1.07,0.98,off,0.0
00:01:12,25.37,92.68,1.1,1.04,off,0.0
00:01:14,25.4,92.72,1.07,1.04,off,0.0
00:01:16,25.38,92.77,1.07,1.04,off,0.0
00:01:18,25.39,92.74,0.99,1.01,off,0.0
00:01:19,25.38,92.8,1.06,1.04,off,0.0
00:01:21,25.39,92.84,1.07,1.04,off,0.0
00:01:23,25.38,92.88,1.07,1.04,off,0.0
00:01:25,25.39,92.9,1.07,1.04,off,0.0
00:01:27,25.39,92.88,1.07,1.04,off,0.0
00:01:29,25.37,92.9,1.07,1.04,off,0.0
00:01:30,25.36,92.9,1.07,1.04,off,0.0
00:01:33,25.37,92.95,1.07,1.04,off,0.0
00:01:34,25.37,92.95,1.07,1.04,off,0.0
00:01:36,25.36,92.93,1.07,1.04,off,0.0
00:01:38,25.37,92.93,1.08,1.04,off,0.0
00:01:40,25.35,92.9,1.07,1.04,off,0.0
00:01:42,25.37,92.92,1.06,1.04,off,0.0
00:01:43,25.37,92.92,1.08,1.04,off,0.0
00:01:45,25.38,92.89,1.06,1.04,off,0.0
00:01:47,25.37,92.9,1.06,1.04,off,0.0
00:01:49,25.37,92.89,1.06,1.04,off,0.0
00:01:50,25.34,92.88,1.06,1.04,off,0.0
00:01:52,25.37,92.87,1.08,1.04,off,0.0
00:01:54,25.38,92.87,1.08,1.04,off,0.0
00:01:55,25.36,92.85,1.05,1.04,off,0.0
00:01:57,25.37,92.85,1.08,1.04,off,0.0
00:01:59,25.36,92.85,1.08,1.04,off,0.0
00:02:01,25.37,92.84,1.07,1.04,off,0.0
00:02:02,25.36,92.83,1.08,1.04,off,0.0
00:02:04,25.35,92.81,1.08,1.04,off,0.0
00:02:07,25.33,92.81,1.07,0.98,off,0.0
00:02:09,25.36,92.83,1.08,1.04,off,0.0
00:02:10,25.33,92.86,1.08,1.04,off,0.0
00:02:12,25.36,92.89,1.07,1.04,off,0.0
00:02:14,25.35,92.91,1.07,1.04,off,0.0
00:02:15,25.35,92.89,1.08,1.04,off,0.0
00:02:17,25.35,92.94,1.07,0.98,off,0.0
00:21:09,25.5,92.0,1.06,1.04,off,0.0
00:21:11,25.52,92.01,1.08,0.98,off,0.0
00:21:12,25.52,92.04,1.06,0.98,off,0.0
00:21:14,25.52,92.05,1.03,1.04,off,0.0
00:21:16,25.52,92.03,1.06,1.04,off,0.0
00:21:17,25.51,92.03,1.07,1.04,off,0.0
00:21:19,25.51,92.0,1.06,0.98,off,0.0
00:21:21,25.52,92.0,1.06,0.98,off,0.0
00:21:23,25.51,92.03,1.06,1.04,off,0.0
00:21:25,25.52,92.01,1.05,1.04,off,0.0
00:21:27,25.51,92.04,1.06,0.98,off,0.0
00:21:29,25.5,92.04,1.08,1.04,off,0.0
00:21:31,25.54,92.07,1.07,1.04,off,0.0
00:21:33,25.54,92.07,1.08,1.04,off,0.0
00:21:34,25.51,92.09,1.04,0.98,off,0.0
00:21:36,25.53,92.06,1.06,0.98,off,0.0
00:21:38,25.52,92.09,1.07,0.98,off,0.0
00:21:40,25.5,92.07,1.08,1.04,off,0.0
00:21:42,25.51,92.09,1.06,1.04,off,0.0
00:21:44,25.54,92.14,1.07,0.98,off,0.0
00:21:45,25.52,92.12,1.07,0.98,off,0.0
00:21:48,25.51,92.13,1.06,1.04,off,0.0
00:21:49,25.51,92.14,1.06,1.04,off,0.0
00:21:51,25.54,92.12,1.06,0.98,off,0.0
00:21:53,25.5,92.16,1.06,1.04,off,0.0
00:21:55,25.52,92.15,1.06,1.04,off,0.0
00:21:56,25.52,92.19,1.07,1.04,off,0.0
00:21:58,25.53,92.19,1.06,0.98,off,0.0
00:22:00,25.5,92.18,1.07,0.98,off,0.0
00:22:02,25.5,92.17,1.08,0.98,off,0.0
00:22:04,25.5,92.16,1.07,1.04,off,0.0
00:22:06,25.53,92.18,1.06,0.98,off,0.0
00:22:08,25.52,92.19,1.07,0.98,off,0.0
00:22:10,25.53,92.17,1.07,1.04,off,0.0
00:22:11,25.52,92.16,1.07,1.04,off,0.0
00:22:13,25.53,92.17,1.06,0.98,off,0.0
00:22:15,25.51,92.18,1.06,1.04,off,0.0
00:22:17,25.53,92.17,1.07,0.98,off,0.0
00:22:18,25.53,92.19,1.06,1.04,off,0.0
00:22:20,25.52,92.22,1.07,0.98,off,0.0
00:22:22,25.53,92.2,1.07,0.98,off,0.0
00:22:23,25.52,92.2,1.06,1.04,off,0.0
00:22:25,25.52,92.19,1.07,1.04,off,0.0
00:22:27,25.53,92.18,1.06,0.98,off,0.0
00:22:29,25.54,92.17,1.06,0.98,off,0.0
00:22:30,25.53,92.18,1.08,0.98,off,0.0
00:22:32,25.52,92.18,1.07,1.04,off,0.0
00:22:33,25.52,92.2,1.06,1.04,off,0.0
00:22:35,25.53,92.21,1.06,0.98,off,0.0
00:22:37,25.53,92.21,1.06,1.04,off,0.0
00:22:39,25.52,92.17,1.07,0.98,off,0.0
00:22:40,25.53,92.16,1.06,1.04,off,0.0
00:22:42,25.52,92.15,1.07,1.04,off,0.0
00:22:44,25.5,92.14,1.07,1.04,off,0.0
00:22:45,25.52,92.16,1.05,1.04,off,0.0
00:22:48,25.53,92.17,1.07,1.04,off,0.0
00:22:49,25.52,92.13,1.07,1.04,off,0.0
00:22:51,25.52,92.16,0.98,1.04,off,0.0
00:22:53,25.52,92.15,1.07,1.04,off,0.0
00:22:55,25.52,92.19,1.06,0.98,off,0.0
00:22:57,25.5,92.18,1.07,0.98,off,0.0
00:22:58,25.53,92.21,1.05,1.04,off,0.0
00:23:00,25.52,92.17,1.06,1.04,off,0.0
00:23:01,25.52,92.18,1.07,1.04,off,0.0
00:23:03,25.52,92.19,1.07,1.04,off,0.0
00:23:05,25.53,92.16,1.04,1.04,off,0.0
00:23:07,25.54,92.16,1.06,1.04,off,0.0
00:23:08,25.51,92.12,1.07,1.04,off,0.0
00:23:10,25.54,92.12,1.05,1.04,off,0.0
00:23:11,25.56,92.11,1.07,1.04,off,0.0
00:23:13,25.52,92.09,1.05,0.98,off,0.0
00:23:15,25.51,92.05,1.06,0.98,off,0.0
00:23:17,25.51,92.04,1.05,1.04,off,0.0
00:23:19,25.51,92.0,1.06,1.04,off,0.0
00:23:20,25.51,92.0,1.07,1.04,off,0.0
00:23:22,25.52,91.97,1.08,1.04,off,0.0
00:23:25,25.51,91.96,1.06,1.04,off,0.0
00:23:26,25.52,91.98,1.06,1.04,off,0.0
00:23:28,25.51,91.96,1.08,0.98,off,0.0
00:23:30,25.54,91.98,1.07,1.04,off,0.0
00:23:31,25.5,91.92,1.06,1.04,off,0.0
00:23:33,25.53,91.89,1.07,1.04,off,0.0
00:23:35,25.53,91.87,1.08,1.04,off,0.0
00:23:36,25.51,91.86,1.06,1.04,off,0.0
00:23:38,25.53,91.89,1.05,1.04,off,0.0
00:23:40,25.52,91.94,1.07,0.98,off,0.0
00:23:42,25.53,91.98,1.06,0.98,off,0.0
00:23:43,25.52,92.0,1.07,1.04,off,0.0
00:23:45,25.5,92.02,1.06,0.98,off,0.0
00:23:46,25.53,92.0,1.06,1.04,off,0.0
00:23:48,25.53,91.99,1.05,1.04,off,0.0
00:23:50,25.53,91.97,1.07,0.98,off,0.0
00:23:52,25.53,91.98,1.06,1.04,off,0.0
00:23:53,25.53,91.96,1.05,0.98,off,0.0
00:23:55,25.52,91.96,1.07,1.04,off,0.0
00:23:57,25.52,91.96,1.07,0.98,off,0.0
