Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
19:31:14,0.0,0.0,0.62,0.0,off,0.0
19:31:16,0.0,0.0,0.62,0.0,off,0.0
19:31:17,0.0,0.0,0.62,0.0,off,0.0
19:31:19,0.0,0.0,0.62,0.0,off,0.0
19:31:21,0.0,0.0,0.62,0.0,off,0.0
19:31:22,0.0,0.0,0.62,0.0,off,0.0
19:31:23,0.0,0.0,0.62,0.0,off,0.0
19:31:25,0.0,0.0,0.62,0.0,off,0.0
19:31:26,0.0,0.0,0.62,0.0,off,0.0
19:31:27,0.0,0.0,0.62,0.0,off,0.0
19:31:29,0.0,0.0,0.62,0.0,off,0.0
19:31:30,0.0,0.0,0.62,0.0,off,0.0
19:31:32,0.0,0.0,0.62,0.0,off,0.0
19:31:34,0.0,0.0,0.62,0.0,off,0.0
19:31:35,0.0,0.0,0.62,0.0,off,0.0
19:31:36,0.0,0.0,0.62,0.0,off,0.0
19:31:38,0.0,0.0,0.62,0.0,off,0.0
19:31:39,0.0,0.0,0.62,0.0,off,0.0
19:31:41,0.0,0.0,0.62,0.0,off,0.0
19:31:42,0.0,0.0,0.62,0.0,off,0.0
19:31:43,0.0,0.0,0.62,0.0,off,0.0
19:31:45,0.0,0.0,0.62,0.0,off,0.0
19:31:46,0.0,0.0,0.62,0.0,off,0.0
19:31:48,0.0,0.0,0.62,0.0,off,0.0
19:31:49,0.0,0.0,0.62,0.0,off,0.0
19:31:51,0.0,0.0,0.62,0.0,off,0.0
19:31:52,0.0,0.0,0.62,0.0,off,0.0
19:31:54,0.0,0.0,0.62,0.0,off,0.0
19:31:55,0.0,0.0,0.62,0.0,off,0.0
19:31:56,0.0,0.0,0.62,0.0,off,0.0
19:31:58,0.0,0.0,0.62,0.0,off,0.0
19:31:59,0.0,0.0,0.62,0.0,off,0.0
19:32:01,0.0,0.0,0.62,0.0,off,0.0
19:32:02,0.0,0.0,0.62,0.0,off,0.0
19:32:03,0.0,0.0,0.62,0.0,off,0.0
19:32:05,0.0,0.0,0.62,0.0,off,0.0
19:32:06,0.0,0.0,0.62,0.0,off,0.0
19:32:07,0.0,0.0,0.62,0.0,off,0.0
19:32:09,0.0,0.0,0.62,0.0,off,0.0
19:32:10,0.0,0.0,0.62,0.0,off,0.0
19:32:11,0.0,0.0,0.62,0.0,off,0.0
19:32:13,0.0,0.0,0.62,0.0,off,0.0
19:32:15,0.0,0.0,0.62,0.0,off,0.0
19:32:16,0.0,0.0,0.62,0.0,off,0.0
19:32:17,0.0,0.0,0.62,0.0,off,0.0
19:32:18,0.0,0.0,0.62,0.0,off,0.0
19:32:20,0.0,0.0,0.62,0.0,off,0.0
19:32:22,0.0,0.0,0.62,0.0,off,0.0
19:32:23,0.0,0.0,0.62,0.0,off,0.0
19:32:24,0.0,0.0,0.62,0.0,off,0.0
19:32:26,0.0,0.0,0.62,0.0,off,0.0
19:32:27,0.0,0.0,0.62,0.0,off,0.0
19:32:29,0.0,0.0,0.62,0.0,off,0.0
19:32:30,0.0,0.0,0.62,0.0,off,0.0
19:32:32,0.0,0.0,0.62,0.0,off,0.0
19:32:34,0.0,0.0,0.62,0.0,off,0.0
19:32:35,0.0,0.0,0.62,0.0,off,0.0
19:32:37,0.0,0.0,0.62,0.0,off,0.0
19:32:38,0.0,0.0,0.62,0.0,off,0.0
19:32:40,0.0,0.0,0.62,0.0,off,0.0
19:32:42,0.0,0.0,0.62,0.0,off,0.0
19:32:43,0.0,0.0,0.62,0.0,off,0.0
19:32:45,0.0,0.0,0.62,0.0,off,0.0
19:32:46,0.0,0.0,0.62,0.0,off,0.0
19:32:47,0.0,0.0,0.62,0.0,off,0.0
19:32:49,0.0,0.0,0.62,0.0,off,0.0
19:32:50,0.0,0.0,0.62,0.0,off,0.0
19:32:52,0.0,0.0,0.62,0.0,off,0.0
19:32:53,0.0,0.0,0.62,0.0,off,0.0
19:32:54,0.0,0.0,0.62,0.0,off,0.0
19:32:56,0.0,0.0,0.62,0.0,off,0.0
19:32:58,0.0,0.0,0.62,0.0,off,0.0
19:32:59,0.0,0.0,0.62,0.0,off,0.0
19:33:01,0.0,0.0,0.62,0.0,off,0.0
19:33:02,0.0,0.0,0.62,0.0,off,0.0
19:33:04,0.0,0.0,0.62,0.0,off,0.0
19:33:05,0.0,0.0,0.62,0.0,off,0.0
19:33:06,0.0,0.0,0.62,0.0,off,0.0
19:33:08,0.0,0.0,0.62,0.0,off,0.0
19:33:09,0.0,0.0,0.62,0.0,off,0.0
19:33:11,0.0,0.0,0.62,0.0,off,0.0
