Time ,Battery Voltage ,Relay Status 
21:35:45,12.6,off
21:35:47,12.58,off
21:35:49,12.58,off
21:35:50,12.58,off
21:35:51,12.6,off
21:35:53,12.58,off
21:35:54,12.6,off
21:35:55,12.6,off
21:35:57,12.6,off
21:35:58,12.58,off
21:35:59,12.6,off
21:36:01,12.58,off
21:36:02,12.58,off
21:36:03,12.58,off
21:36:05,12.6,off
21:36:06,12.58,off
21:36:08,12.6,off
21:36:09,12.6,off
21:36:10,12.6,off
21:36:12,12.58,off
21:36:13,12.58,off
21:36:14,12.6,off
21:36:16,12.6,off
21:36:17,12.58,off
21:36:19,12.6,off
21:36:20,12.6,off
21:36:22,12.6,off
21:36:23,12.6,off
21:36:25,12.6,off
21:36:26,12.58,off
21:36:27,12.6,off
21:36:29,12.6,off
21:36:30,12.58,off
21:36:31,12.58,off
21:36:33,12.6,off
21:36:34,12.6,off
21:36:35,12.6,off
21:36:37,12.6,off
21:36:38,12.58,off
21:36:40,12.6,off
21:36:41,12.6,off
21:36:42,12.6,off
21:36:44,12.58,off
21:36:45,12.6,off
21:36:46,12.58,off
21:36:48,12.58,off
21:36:49,12.58,off
21:36:50,12.6,off
21:36:52,12.6,off
21:36:53,12.58,off
21:36:54,12.58,off
21:36:56,12.58,off
21:36:57,12.6,off
21:36:58,12.6,off
21:37:00,12.58,off
21:37:01,12.58,off
21:37:02,12.58,off
21:37:04,12.58,off
21:37:05,12.58,off
21:37:06,12.58,off
21:37:08,12.6,off
21:37:09,12.58,off
21:37:11,12.58,off
21:37:12,12.58,off
21:37:13,12.58,off
21:37:15,12.6,off
21:37:16,12.58,off
21:37:17,12.58,off
21:37:19,12.6,off
21:37:20,12.58,off
21:37:21,12.58,off
21:37:23,12.58,off
21:37:24,12.58,off
21:37:28,12.58,off
21:37:29,12.58,off
21:37:31,12.58,off
21:37:32,12.6,off
21:37:33,12.6,off
21:37:35,12.6,off
21:37:36,12.58,off
21:37:37,12.6,off
21:37:38,12.58,off
21:37:40,12.6,off
21:37:41,12.58,off
21:37:43,12.58,off
21:37:45,12.58,off
21:37:46,12.58,off
21:37:47,12.6,off
21:37:51,12.6,off
21:37:53,12.6,off
21:37:54,12.58,off
21:37:55,12.58,off
21:37:56,12.6,off
21:37:58,12.58,off
21:37:59,12.58,off
21:38:00,12.58,off
21:38:02,12.6,off
21:38:03,12.58,off
21:38:04,12.58,off
21:38:06,12.58,off
21:38:07,12.58,off
21:38:08,12.6,off
21:38:10,12.58,off
21:38:11,12.58,off
21:38:12,12.58,off
21:38:14,12.6,off
21:38:15,12.6,off
21:38:16,12.6,off
21:38:18,12.58,off
21:38:19,12.6,off
21:38:20,12.6,off
21:38:22,12.58,off
21:38:23,12.58,off
21:38:25,12.58,off
21:38:26,12.58,off
21:38:27,12.58,off
21:38:29,12.58,off
21:38:30,12.58,off
21:38:32,12.58,off
21:38:33,12.58,off
21:38:34,12.6,off
21:38:35,12.58,off
21:38:37,12.58,off
21:38:38,12.6,off
21:38:39,12.58,off
21:38:41,12.58,off
21:38:42,12.6,off
21:38:43,12.58,off
21:38:45,12.6,off
21:38:46,12.58,off
21:38:47,12.6,off
21:38:49,12.6,off
21:38:50,12.6,off
21:38:51,12.58,off
21:38:53,12.6,off
21:38:54,12.58,off
21:38:56,12.58,off
21:38:57,12.6,off
21:38:58,12.58,off
21:39:00,12.6,off
21:39:01,12.6,off
21:39:02,12.6,off
21:39:04,12.58,off
21:39:05,12.58,off
21:39:06,12.6,off
21:39:08,12.6,off
21:39:09,12.6,off
21:39:10,12.6,off
21:39:12,12.58,off
21:39:13,12.58,off
21:39:14,12.6,off
21:39:15,12.58,off
21:39:17,12.6,off
21:39:18,12.6,off
21:39:20,12.58,off
21:39:21,12.58,off
21:39:23,12.58,off
21:39:24,12.58,off
21:39:25,12.58,off
21:39:27,12.58,off
21:39:28,12.58,off
21:39:30,12.6,off
21:39:31,12.58,off
21:39:32,12.6,off
21:39:34,12.58,off
21:39:35,12.6,off
21:39:37,12.58,off
21:39:38,12.6,off
21:39:40,12.58,off
21:39:41,12.58,off
21:39:42,12.6,off
21:39:44,12.6,off
21:39:45,12.6,off
21:39:46,12.58,off
21:39:48,12.58,off
21:39:50,12.6,off
21:39:51,12.6,off
21:39:52,12.58,off
21:39:53,12.58,off
21:39:55,12.6,off
21:39:56,12.58,off
21:39:57,12.58,off
21:39:59,12.58,off
21:40:00,12.6,off
21:40:01,12.58,off
21:40:03,12.58,off
21:40:04,12.6,off
21:40:05,12.58,off
21:40:07,12.58,off
21:40:08,12.58,off
21:40:10,12.6,off
21:40:11,12.6,off
21:40:13,12.6,off
21:40:14,12.58,off
21:40:15,12.58,off
21:40:17,12.58,off
21:40:18,12.6,off
21:40:19,12.6,off
21:40:21,12.58,off
21:40:22,12.6,off
21:40:23,12.58,off
21:40:25,12.58,off
21:40:26,12.6,off
21:40:28,12.58,off
21:40:29,12.6,off
21:40:30,12.58,off
21:40:31,12.6,off
21:40:33,12.58,off
21:40:34,12.58,off
21:40:35,12.58,off
21:40:37,12.6,off
21:40:38,12.6,off
21:40:39,12.6,off
21:40:41,12.6,off
21:40:42,12.58,off
21:40:43,12.6,off
21:40:44,12.58,off
21:40:46,12.6,off
21:40:47,12.58,off
21:40:48,12.6,off
21:40:50,12.6,off
21:40:51,12.6,off
21:40:53,12.58,off
21:40:54,12.58,off
21:40:56,12.6,off
21:40:57,12.58,off
21:40:59,12.58,off
21:41:00,12.6,off
21:41:01,12.6,off
21:41:03,12.58,off
21:41:04,12.6,off
21:41:05,12.58,off
21:41:07,12.58,off
21:41:08,12.6,off
21:41:09,12.6,off
21:41:11,12.58,off
21:41:12,12.58,off
21:41:14,12.6,off
21:41:15,12.58,off
21:41:17,12.58,off
21:41:18,12.6,off
21:41:22,12.58,off
21:41:23,12.6,off
21:41:24,12.6,off
21:41:27,12.6,off
21:41:29,12.58,off
21:41:31,12.58,off
21:41:32,12.6,off
21:41:33,12.58,off
21:41:35,12.6,off
21:41:37,12.6,off
21:41:39,12.58,off
21:41:40,12.6,off
21:41:41,12.6,off
21:41:43,12.58,off
21:41:48,12.58,off
21:41:50,12.6,off
21:41:51,12.58,off
21:41:53,12.58,off
21:41:54,12.58,off
21:41:56,12.58,off
21:41:57,12.58,off
21:41:58,12.58,off
21:42:00,12.58,off
21:42:01,12.58,off
21:42:03,12.58,off
21:42:04,12.58,off
21:42:06,12.58,off
21:42:07,12.58,off
21:42:08,12.58,off
21:42:20,12.58,off
21:42:22,12.58,off
21:42:23,12.58,off
21:42:26,12.58,off
21:42:28,12.58,off
21:42:30,12.6,off
21:42:32,12.58,off
21:42:33,12.6,off
21:42:35,12.58,off
21:42:37,12.58,off
21:42:39,12.56,off
21:42:42,12.58,off
21:42:44,12.6,off
21:42:45,12.6,off
21:42:48,12.6,off
21:42:50,12.6,off
21:42:52,12.58,off
21:42:53,12.6,off
21:42:55,12.58,off
21:42:57,12.6,off
21:42:58,12.58,off
21:43:00,12.58,off
21:43:02,12.6,off
21:43:03,12.58,off
21:43:05,12.58,off
21:43:06,12.6,off
21:43:07,12.58,off
21:43:09,12.58,off
21:43:10,12.58,off
21:43:11,12.58,off
21:43:13,12.58,off
21:43:14,12.58,off
21:43:16,12.6,off
21:43:17,12.6,off
21:43:18,12.6,off
21:43:20,12.6,off
21:43:21,12.58,off
21:43:22,12.58,off
21:43:24,12.58,off
21:43:25,12.6,off
21:43:27,12.6,off
21:43:28,12.6,off
21:43:29,12.6,off
21:43:31,12.58,off
21:43:32,12.58,off
21:43:33,12.6,off
21:43:35,12.58,off
21:43:36,12.6,off
21:43:37,12.58,off
21:43:39,12.58,off
21:43:40,12.6,off
21:43:41,12.58,off
21:43:43,12.58,off
21:43:44,12.6,off
21:43:45,12.58,off
21:43:47,12.58,off
21:43:48,12.58,off
21:43:49,12.58,off
21:43:51,12.58,off
21:43:52,12.58,off
21:43:53,12.6,off
21:43:55,12.6,off
21:43:56,12.58,off
21:43:57,12.6,off
21:43:59,12.58,off
21:44:00,12.6,off
21:44:01,12.6,off
21:44:02,12.58,off
21:44:04,12.6,off
21:44:05,12.58,off
21:44:06,12.58,off
21:44:08,12.6,off
21:44:09,12.58,off
21:44:11,12.6,off
21:44:12,12.6,off
21:44:13,12.58,off
21:44:15,12.6,off
21:44:16,12.6,off
21:44:17,12.6,off
21:44:19,12.58,off
21:44:20,12.6,off
21:44:21,12.58,off
21:44:23,12.6,off
21:44:24,12.6,off
21:44:25,12.58,off
21:44:27,12.58,off
21:44:28,12.58,off
21:44:29,12.6,off
21:44:30,12.58,off
21:44:32,12.58,off
21:44:33,12.58,off
21:44:35,12.6,off
21:44:36,12.58,off
21:44:37,12.6,off
21:44:38,12.58,off
21:44:40,12.6,off
21:44:41,12.6,off
21:44:43,12.6,off
21:44:44,12.58,off
21:44:45,12.58,off
21:44:46,12.6,off
21:44:48,12.58,off
21:44:49,12.6,off
21:44:51,12.58,off
21:44:52,12.58,off
21:44:53,12.6,off
21:44:54,12.6,off
21:44:56,12.58,off
21:44:57,12.58,off
21:44:58,12.58,off
21:45:00,12.58,off
21:45:01,12.58,off
21:45:02,12.6,off
21:45:04,12.58,off
21:45:05,12.6,off
21:45:06,12.58,off
21:45:08,12.6,off
21:45:09,12.6,off
21:45:10,12.6,off
21:45:12,12.58,off
21:45:13,12.6,off
21:45:14,12.6,off
21:45:15,12.6,off
