Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
17:15:59,26.93,88.09,1.65,85.68,off,0.0
17:16:01,26.97,88.06,1.62,85.77,off,0.0
17:16:03,26.96,87.81,1.66,85.71,off,0.0
17:16:04,26.92,87.63,1.61,85.62,off,0.0
17:16:06,26.95,87.46,1.65,85.65,off,0.0
17:16:07,26.91,87.34,1.65,85.62,off,0.0
17:16:09,26.92,87.22,1.64,85.62,off,0.0
17:16:10,26.92,87.18,1.62,85.5,off,0.0
17:16:12,26.93,87.12,1.66,85.5,off,0.0
17:16:13,26.9,87.14,1.63,85.53,off,0.0
17:20:46,26.69,88.96,1.57,74.42,off,0.0
17:21:01,26.68,88.78,1.55,71.91,off,0.0
17:21:09,26.7,88.98,1.56,70.13,off,0.0
17:35:10,25.62,92.26,1.57,69.49,off,0.0
17:35:16,25.6,92.31,1.55,69.61,off,0.0
17:35:30,25.6,92.62,1.56,69.81,off,0.0
17:35:34,25.56,92.67,1.57,69.67,off,0.0
17:50:34,26.16,91.43,1.32,49.97,off,0.0
17:55:56,26.11,90.8,1.36,37.47,off,0.0
17:55:58,26.14,90.83,1.4,37.35,off,0.0
17:56:00,26.15,90.89,1.36,37.29,off,0.0
17:56:01,26.15,90.92,1.37,37.26,off,0.0
17:56:03,26.16,90.9,1.36,37.12,off,0.0
17:56:04,26.14,90.88,1.34,37.12,off,0.0
17:56:06,26.15,90.9,1.38,37.0,off,0.0
17:56:08,26.15,90.88,1.36,37.06,off,0.0
17:56:09,26.15,90.84,1.38,36.97,off,0.0
17:56:11,26.14,90.84,1.34,36.88,off,0.0
17:56:12,26.15,90.87,1.36,36.86,off,0.0
17:56:14,26.15,90.88,1.38,36.74,off,0.0
17:56:16,26.16,90.91,1.35,36.65,off,0.0
17:56:18,26.13,90.93,1.41,36.65,off,0.0
17:56:19,26.14,90.97,1.36,36.54,off,0.0
17:56:21,26.17,90.99,1.37,36.51,off,0.0
17:56:22,26.12,90.97,1.35,36.48,off,0.0
17:56:24,26.16,90.98,1.35,36.36,off,0.0
17:56:25,26.15,90.97,1.33,36.33,off,0.0
17:56:27,26.14,90.97,1.36,36.28,off,0.0
17:56:28,26.16,90.98,1.38,36.13,off,0.0
17:56:30,26.13,90.99,1.36,36.13,off,0.0
17:56:31,26.15,91.03,1.28,36.01,off,0.0
17:56:33,26.15,91.02,1.36,36.07,off,0.0
17:56:34,26.15,90.98,1.37,35.98,off,0.0
17:56:36,26.13,91.02,1.36,35.98,off,0.0
17:56:37,26.15,91.03,1.36,35.93,off,0.0
