Time , Signal value , Temperature , Humidity , Battery Voltage , Light Sensor Value 
11:57:52,0.0,0.0,3.03,0.0,off,0.0
11:57:53,0.0,0.0,3.05,0.0,off,0.0
11:57:54,0.0,0.0,3.04,0.0,off,0.0
11:57:56,0.0,0.0,2.96,0.0,off,0.0
11:57:57,0.0,0.0,2.96,0.0,off,0.0
11:57:59,0.0,0.0,3.02,0.0,off,0.0
11:58:01,0.0,0.0,3.04,0.0,off,0.0
11:58:02,0.0,0.0,2.96,0.0,off,0.0
11:58:03,0.0,0.0,3.03,0.0,off,0.0
11:58:05,0.0,0.0,3.04,0.0,off,0.0
11:58:06,0.0,0.0,3.01,0.0,off,0.0
11:58:07,0.0,0.0,2.94,0.0,off,0.0
11:58:08,0.0,0.0,3.02,0.0,off,0.0
11:58:10,0.0,0.0,2.96,0.0,off,0.0
11:58:12,0.0,0.0,2.82,0.0,off,0.0
11:58:13,0.0,0.0,2.92,0.0,off,0.0
11:58:14,0.0,0.0,2.94,0.0,off,0.0
11:58:16,0.0,0.0,2.87,0.0,off,0.0
11:58:17,26.47,87.47,2.89,0.0,off,0.0
11:58:19,26.47,87.43,2.93,0.0,off,0.0
11:58:20,26.48,87.43,2.91,0.0,off,0.0
11:58:22,26.49,87.47,2.9,0.0,off,0.0
11:58:23,26.52,87.5,2.94,0.0,off,0.0
11:58:25,26.52,87.49,2.96,0.0,off,0.0
11:58:26,26.51,87.52,3.02,0.0,off,0.0
11:58:28,26.51,87.48,2.92,0.0,off,0.0
11:58:29,26.51,87.48,3.05,0.0,off,0.0
11:58:31,26.52,87.51,3.11,0.0,off,0.0
11:58:32,26.5,87.51,3.05,0.0,off,0.0
11:58:33,26.51,87.49,3.07,0.0,off,0.0
11:58:36,26.49,87.48,3.06,0.0,off,0.0
11:58:37,26.51,87.51,3.06,1802.17,off,0.0
11:58:39,26.51,87.47,3.03,1803.14,off,0.0
11:58:41,26.52,87.48,3.04,1805.98,off,0.0
11:58:42,26.52,87.47,3.05,1808.13,off,0.0
11:58:43,26.51,87.48,3.06,1811.22,off,0.0
11:58:45,26.51,87.46,2.96,1809.03,off,0.0
11:58:46,26.53,87.48,2.92,1813.82,off,0.0
11:58:48,26.52,87.44,2.89,1811.42,off,0.0
11:58:49,26.54,87.46,2.89,1817.11,off,0.0
11:58:51,26.53,87.44,3.03,1822.24,off,0.0
11:58:52,26.5,87.4,2.87,1820.99,off,0.0
11:58:54,26.52,87.4,2.7,1824.74,off,0.0
11:58:55,26.52,87.4,10.24,1828.55,off,0.0
11:58:57,26.53,87.36,2.77,1827.65,off,0.0
11:58:58,26.52,87.37,2.68,1833.41,off,0.0
11:59:00,26.51,87.35,15.99,1834.76,off,0.0
11:59:01,26.53,87.35,2.78,1837.37,off,0.0
11:59:02,26.52,87.35,2.82,1840.39,off,0.0
11:59:04,26.53,87.37,2.78,1841.53,off,0.0
11:59:05,26.52,87.33,2.8,1843.23,off,0.0
11:59:07,26.52,87.37,2.85,1846.64,off,0.0
11:59:08,26.53,87.39,2.8,1847.33,off,0.0
11:59:10,26.54,87.37,2.8,1850.22,off,0.0
11:59:11,26.52,87.39,2.8,1852.58,off,0.0
11:59:13,26.51,87.38,2.79,1855.6,off,0.0
11:59:14,26.52,87.39,2.83,1857.83,off,0.0
11:59:16,26.51,87.37,2.79,1858.45,off,0.0
11:59:17,26.52,87.37,2.8,1859.46,off,0.0
11:59:18,26.52,87.39,2.8,1864.19,off,0.0
11:59:20,26.5,87.35,2.75,1866.8,off,0.0
11:59:21,26.52,87.35,2.81,1868.92,off,0.0
11:59:23,26.52,87.33,2.77,1869.26,off,0.0
11:59:24,26.52,87.3,2.78,1873.89,off,0.0
11:59:26,26.52,87.27,2.81,1875.77,off,0.0
11:59:27,26.52,87.27,2.81,1879.74,off,0.0
11:59:28,26.54,87.3,2.8,1881.41,off,0.0
11:59:30,26.51,87.31,2.78,1882.8,off,0.0
11:59:32,26.51,87.32,2.81,1881.09,off,0.0
11:59:33,26.51,87.29,2.78,1881.93,off,0.0
11:59:34,26.54,87.35,2.75,1888.02,off,0.0
11:59:36,26.52,87.34,2.81,1886.73,off,0.0
11:59:37,26.53,87.36,2.83,1888.75,off,0.0
11:59:39,26.51,87.38,2.87,1893.04,off,0.0
11:59:40,26.52,87.38,2.81,1893.77,off,0.0
11:59:42,26.51,87.42,2.81,1895.82,off,0.0
11:59:44,26.52,87.43,2.8,1894.81,off,0.0
11:59:45,26.51,87.39,2.76,1899.45,off,0.0
11:59:46,26.52,87.39,2.78,1903.56,off,0.0
11:59:48,26.53,87.33,2.82,1898.71,off,0.0
11:59:49,26.54,87.28,2.79,1900.6,off,0.0
11:59:51,26.55,87.26,2.82,1905.27,off,0.0
11:59:52,26.53,87.23,2.8,1907.81,off,0.0
11:59:54,26.54,87.17,2.82,1909.76,off,0.0
11:59:55,26.54,87.11,2.78,1909.62,off,0.0
11:59:56,26.53,87.1,2.83,1907.6,off,0.0
11:59:58,26.52,87.07,2.82,1916.56,off,0.0
12:00:00,26.53,87.03,2.83,1916.35,off,0.0
12:00:01,26.54,87.0,2.85,1916.77,off,0.0
