Time ,Battery Voltage ,Relay Status 
20:37:50,12.78,off
20:37:51,12.77,off
20:37:53,12.77,off
20:37:54,12.78,off
20:37:55,12.78,off
20:37:57,12.78,off
20:37:58,12.77,off
20:37:59,12.77,off
20:38:00,12.78,off
20:38:02,12.77,off
20:38:03,12.77,off
20:38:05,12.8,off
20:38:06,12.77,off
20:38:07,12.77,off
20:38:09,12.78,off
20:38:10,12.77,off
20:38:11,12.77,off
20:38:13,12.78,off
20:38:14,12.77,off
20:38:15,12.77,off
20:38:17,12.78,off
20:38:18,12.8,off
20:38:20,12.77,off
20:38:21,12.8,off
20:38:22,12.77,off
20:38:23,12.77,off
20:38:25,12.77,off
20:38:26,12.77,off
20:38:27,12.77,off
20:38:29,12.77,off
20:38:30,12.8,off
20:38:31,12.77,off
20:38:33,12.77,off
20:38:34,12.8,off
20:38:35,12.77,off
20:38:37,12.8,off
20:38:41,12.77,off
20:38:42,12.78,off
20:38:44,12.78,off
20:38:45,12.77,off
20:38:47,12.8,off
20:38:48,12.77,off
20:38:49,12.78,off
20:38:50,12.77,off
20:38:52,12.78,off
20:38:53,12.77,off
20:38:54,12.78,off
20:38:56,12.77,off
20:38:57,12.78,off
20:38:59,12.78,off
20:39:00,12.77,off
20:39:02,12.77,off
20:39:03,12.8,off
20:39:04,12.78,off
20:39:05,12.77,off
20:39:07,12.77,off
20:39:08,12.77,off
20:39:09,12.77,off
20:39:11,12.77,off
20:39:12,12.78,off
20:39:13,12.78,off
20:39:15,12.8,off
20:39:16,12.78,off
20:39:17,12.78,off
20:39:19,12.77,off
20:39:20,12.77,off
20:39:21,12.8,off
20:39:23,12.8,off
20:39:24,12.77,off
20:39:25,12.78,off
20:39:26,12.77,off
20:39:28,12.77,off
20:39:29,12.8,off
20:39:30,12.77,off
20:39:32,12.8,off
20:39:33,12.77,off
20:39:34,12.78,off
20:39:36,12.77,off
20:39:37,12.77,off
20:39:39,12.8,off
20:39:40,12.8,off
20:39:42,12.78,off
20:39:43,12.77,off
20:39:44,12.77,off
20:39:46,12.78,off
20:39:47,12.78,off
20:39:48,12.77,off
20:39:50,12.77,off
20:39:51,12.77,off
20:39:52,12.78,off
20:39:54,12.77,off
20:39:55,12.77,off
20:39:56,12.77,off
20:39:58,12.8,off
20:39:59,12.78,off
20:40:00,12.8,off
20:40:01,12.78,off
20:40:03,12.77,off
20:40:04,12.77,off
20:40:05,12.78,off
20:40:07,12.8,off
20:40:08,12.77,off
20:40:10,12.77,off
20:40:11,12.77,off
20:40:12,12.78,off
20:40:14,12.78,off
20:40:15,12.78,off
20:40:16,12.77,off
20:40:18,12.77,off
20:40:19,12.77,off
20:40:20,12.77,off
20:40:22,12.8,off
20:40:23,12.78,off
20:40:24,12.78,off
20:40:26,12.78,off
20:40:27,12.77,off
20:40:28,12.78,off
20:40:29,12.77,off
20:40:31,12.78,off
20:40:32,12.77,off
20:40:33,12.78,off
20:40:35,12.77,off
20:40:36,12.77,off
20:40:37,12.78,off
20:40:38,12.78,off
20:40:40,12.78,off
20:40:41,12.78,off
20:40:43,12.77,off
20:40:44,12.8,off
20:40:45,12.77,off
20:40:46,12.77,off
20:40:48,12.78,off
20:40:49,12.77,off
20:40:50,12.78,off
20:40:52,12.77,off
20:40:53,12.78,off
20:40:54,12.77,off
20:40:55,12.77,off
20:40:57,12.77,off
20:40:58,12.77,off
20:40:59,12.77,off
20:41:01,12.78,off
20:41:02,12.78,off
20:41:03,12.8,off
20:41:05,12.8,off
20:41:06,12.77,off
20:41:07,12.77,off
20:41:09,12.78,off
20:41:10,12.77,off
20:41:11,12.77,off
20:41:12,12.78,off
20:41:14,12.78,off
20:41:15,12.77,off
20:41:16,12.77,off
20:41:18,12.8,off
20:41:20,12.77,off
20:41:21,12.77,off
20:41:22,12.78,off
20:41:23,12.78,off
20:41:25,12.78,off
20:41:26,12.77,off
20:41:27,12.77,off
20:41:29,12.77,off
20:41:30,12.78,off
20:41:31,12.77,off
20:41:33,12.77,off
20:41:34,12.78,off
20:41:35,12.77,off
20:41:37,12.77,off
20:41:38,12.77,off
20:41:39,12.8,off
20:41:41,12.77,off
20:41:42,12.78,off
20:41:43,12.8,off
20:41:45,12.78,off
20:41:46,12.77,off
20:41:47,12.77,off
20:41:48,12.77,off
20:41:50,12.78,off
20:41:51,12.8,off
20:41:52,12.8,off
20:41:54,12.8,off
20:41:55,12.78,off
20:41:56,12.8,off
20:41:58,12.77,off
20:41:59,12.77,off
20:42:01,12.78,off
20:42:03,12.77,off
20:42:04,12.77,off
20:42:06,12.78,off
20:42:07,12.77,off
20:42:08,12.78,off
20:42:10,12.78,off
20:42:11,12.77,off
20:42:12,12.77,off
20:42:14,12.77,off
20:42:15,12.77,off
20:42:17,12.8,off
20:42:18,12.77,off
20:42:19,12.78,off
